number_of_seats,length_mm,width_mm,height_mm,curb_weight_kg,maximum_torque_n_m,number_of_cylinders,valves_per_cylinder,turnover_of_maximum_torque_rpm,capacity_cm3,engine_hp,engine_hp_rpm,number_of_gears,injection_type_Injector,injection_type_Monoinjection,injection_type_Multi-point fuel injection,injection_type_carburetor,injection_type_direct injection,cylinder_layout_Opposed,cylinder_layout_Rotary-piston,cylinder_layout_V-type,cylinder_layout_W-type,cylinder_layout_inline,engine_type_Gas,engine_type_Gasoline,engine_type_Hybrid,boost_type_none,drive_wheels_Four wheel drive (4WD),drive_wheels_Front wheel drive,drive_wheels_Rear wheel drive,mixed_fuel_consumption_per_100_km_l
5,4443,1730,1440,1325,144,4,4,4500,1598,120,6300,5,False,False,True,False,False,False,False,False,False,False,False,True,False,True,False,True,False,7.8
5,4443,1700,1440,1400,146,4,4,3500,1731,115,6000,5,False,False,True,False,False,False,False,False,False,False,False,True,False,True,False,True,False,8.1
5,4443,1730,1425,1325,165,4,4,4000,1747,140,6300,5,False,False,True,False,False,False,False,False,False,False,False,True,False,True,False,True,False,7.9
5,4443,1730,1440,1415,187,4,4,4000,1970,150,6200,5,False,False,True,False,False,False,False,False,False,False,False,True,False,True,False,True,False,8.3
5,4443,1700,1440,1535,293,4,4,2500,1995,187,6000,5,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,9.8
5,4443,1700,1440,1492,216,6,2,4500,2492,165,5800,5,False,False,True,False,False,False,False,True,False,False,False,True,False,True,False,True,False,9.3
5,4443,1700,1440,1495,294,4,2,2000,2500,125,4200,5,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,7.1
5,4430,1745,1420,1460,300,6,4,4800,3179,250,6200,6,False,False,True,False,False,False,False,True,False,False,False,True,False,True,False,True,False,12.1
5,4441,1743,1458,1510,305,4,4,2000,1910,150,4000,6,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,7.1
5,4430,1745,1415,1410,300,6,4,4800,3179,250,6200,6,False,False,True,False,False,False,False,True,False,False,False,True,False,True,False,True,False,12.1
5,4435,1743,1430,1265,163,4,4,3900,1747,140,6500,5,False,False,True,False,False,False,False,False,False,False,False,True,False,True,False,True,False,8.6
5,4435,1743,1430,1285,206,4,4,3250,1970,165,6400,5,False,False,True,False,False,False,False,False,False,False,False,True,False,True,False,True,False,8.9
5,4435,1743,1430,1405,218,6,4,5000,2492,192,6300,4,False,False,True,False,False,False,False,True,False,False,False,True,False,True,False,True,False,11.8
5,4435,1745,1430,1405,218,6,4,5000,2492,192,6300,6,False,False,False,False,False,False,False,True,False,False,False,True,False,True,False,True,False,11.8
5,4430,1745,1420,1280,144,4,4,4200,1598,120,6300,5,False,False,True,False,False,False,False,False,False,False,False,True,False,True,False,True,False,8.2
5,4660,1828,1417,1445,230,4,4,4500,2198,185,6500,6,False,False,False,False,True,False,False,False,False,False,False,True,False,True,False,True,False,9.4
5,4660,1828,1417,1445,230,4,4,4500,2198,185,6500,6,False,False,False,False,True,False,False,False,False,False,False,True,False,True,False,True,False,9.2
5,4660,1828,1422,1540,322,6,4,4500,3195,260,6300,6,False,False,False,False,True,False,False,True,False,False,False,True,False,True,False,True,False,11.0
5,4660,1828,1422,1610,322,6,4,4500,3195,260,6300,6,False,False,False,False,True,False,False,True,False,False,False,True,False,True,False,False,False,12.2
5,4660,1828,1422,1610,322,6,4,4500,3195,260,6300,6,False,False,False,False,True,False,False,True,False,False,False,True,False,True,False,False,False,11.4
5,4660,1828,1417,1495,230,4,4,4500,2198,185,6500,6,False,False,False,False,True,False,False,False,False,False,False,True,False,True,False,True,False,9.5
5,4660,1828,1417,1540,230,4,4,4500,2198,185,6500,6,False,False,False,False,True,False,False,False,False,False,False,True,False,True,False,True,False,9.3
5,4660,1828,1422,1590,322,6,4,4500,3195,260,6300,6,False,False,False,False,True,False,False,True,False,False,False,True,False,True,False,True,False,11.0
5,4660,1828,1422,1660,322,6,4,4500,3195,260,6300,6,False,False,False,False,True,False,False,True,False,False,False,True,False,True,False,False,False,12.3
5,4660,1828,1422,1660,322,6,4,4500,3195,260,6300,6,False,False,False,False,True,False,False,True,False,False,False,True,False,True,False,False,False,11.5
5,4565,1760,1390,1400,187,4,2,5000,1995,144,5800,5,True,False,False,False,False,False,False,False,False,False,False,True,False,True,False,True,False,8.0
5,4665,1760,1390,1510,271,6,2,2250,1996,201,6000,5,True,False,False,False,False,False,False,True,False,False,False,True,False,True,False,True,False,9.0
5,4565,1760,1390,1510,225,6,2,4000,2959,180,5600,5,True,False,False,False,False,False,False,True,False,False,False,True,False,True,False,True,False,9.0
5,4555,1760,1356,1680,280,6,4,4500,2959,232,6300,6,True,False,False,False,False,False,False,True,False,False,False,True,False,True,False,False,False,10.0
5,4720,1815,1416,1490,305,5,2,1800,2387,140,4000,6,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,7.0
5,4720,1815,1416,1490,221,6,4,5000,2492,188,6300,6,True,False,False,False,False,False,False,True,False,False,False,True,False,True,False,True,False,11.0
5,4720,1815,1406,1510,265,6,4,5000,2959,220,6300,6,True,False,False,False,False,False,False,True,False,False,False,True,False,True,False,True,False,12.0
5,4720,1800,1416,1540,289,6,4,4800,3179,240,6200,6,True,False,False,False,False,False,False,True,False,False,False,True,False,True,False,True,False,12.0
5,4075,1615,1350,940,122,4,2,4000,1351,88,6000,5,False,False,False,True,False,True,False,False,False,False,False,True,False,True,False,True,False,7.9
5,4075,1615,1350,940,116,4,2,4500,1351,90,6000,5,False,False,True,False,False,True,False,False,False,False,False,True,False,True,False,True,False,7.8
5,4075,1615,1350,940,116,4,2,4500,1351,90,6000,5,False,False,True,False,False,True,False,False,False,False,False,True,False,True,True,False,False,7.8
5,4075,1615,1350,940,136,4,2,4000,1490,105,6000,5,False,False,False,True,False,True,False,False,False,False,False,True,False,True,False,True,False,8.0
5,4075,1615,1350,970,149,4,2,4500,1712,107,5800,5,False,False,True,False,False,True,False,False,False,False,False,True,False,True,False,True,False,7.6
5,4075,1615,1350,1000,155,4,4,4600,1712,132,6500,5,False,False,True,False,False,True,False,False,False,False,False,True,False,True,False,True,False,7.9
5,4075,1615,1375,1020,149,4,2,4500,1712,107,5800,5,False,False,True,False,False,True,False,False,False,False,False,True,False,True,False,False,False,7.6
5,4200,1615,1350,955,116,4,2,4500,1351,90,6000,5,False,False,True,False,False,True,False,False,False,False,False,True,False,True,False,True,False,7.5
